community,nodes,edges,density,avg_clustering,avg_degree
581,1,1,0.0,0.0,2.0
582,3,3,1.0,0.0,2.0
583,2,1,1.0,0.0,1.0
584,1,1,0.0,0.0,2.0
585,1,1,0.0,0.0,2.0
586,1,1,0.0,0.0,2.0
587,1,1,0.0,0.0,2.0
588,1,1,0.0,0.0,2.0
589,1,1,0.0,0.0,2.0
590,3,2,0.6666666666666666,0.0,1.3333333333333333
591,3,3,1.0,0.0,2.0
592,2,1,1.0,0.0,1.0
593,2,2,2.0,0.0,2.0
594,2,1,1.0,0.0,1.0
595,1,1,0.0,0.0,2.0
596,1,1,0.0,0.0,2.0
597,3,2,0.6666666666666666,0.0,1.3333333333333333
598,1,1,0.0,0.0,2.0
599,1,1,0.0,0.0,2.0
600,1,1,0.0,0.0,2.0
601,1,1,0.0,0.0,2.0
602,1,1,0.0,0.0,2.0
603,1,1,0.0,0.0,2.0
604,2,1,1.0,0.0,1.0
605,1,1,0.0,0.0,2.0
606,2,2,2.0,0.0,2.0
607,1,1,0.0,0.0,2.0
608,2,2,2.0,0.0,2.0
609,2,2,2.0,0.0,2.0
610,3,3,1.0,0.0,2.0
611,1,1,0.0,0.0,2.0
612,2,1,1.0,0.0,1.0
613,1,1,0.0,0.0,2.0
614,1,1,0.0,0.0,2.0
615,1,1,0.0,0.0,2.0
616,1,1,0.0,0.0,2.0
617,1,1,0.0,0.0,2.0
618,1,1,0.0,0.0,2.0
619,1,1,0.0,0.0,2.0
620,1,1,0.0,0.0,2.0
621,1,1,0.0,0.0,2.0
622,2,1,1.0,0.0,1.0
623,1,1,0.0,0.0,2.0
624,1,1,0.0,0.0,2.0
625,1,1,0.0,0.0,2.0
626,3,2,0.6666666666666666,0.0,1.3333333333333333
627,2,1,1.0,0.0,1.0
628,2,1,1.0,0.0,1.0
629,2,1,1.0,0.0,1.0
630,1,1,0.0,0.0,2.0
631,4,3,0.5,0.0,1.5
632,1,1,0.0,0.0,2.0
633,2,2,2.0,0.0,2.0
634,3,2,0.6666666666666666,0.0,1.3333333333333333
635,4,3,0.5,0.0,1.5
636,3,2,0.6666666666666666,0.0,1.3333333333333333
637,2,2,2.0,0.0,2.0
638,2,1,1.0,0.0,1.0
639,2,1,1.0,0.0,1.0
640,1,1,0.0,0.0,2.0
641,2,1,1.0,0.0,1.0
642,2,1,1.0,0.0,1.0
643,1,1,0.0,0.0,2.0
644,3,2,0.6666666666666666,0.0,1.3333333333333333
645,1,1,0.0,0.0,2.0
646,2,1,1.0,0.0,1.0
647,20,20,0.10526315789473684,0.0,2.0
648,4,4,0.6666666666666666,0.0,2.0
649,2,1,1.0,0.0,1.0
650,2,1,1.0,0.0,1.0
651,2,2,2.0,0.0,2.0
652,2,2,2.0,0.0,2.0
653,2,1,1.0,0.0,1.0
654,5,5,0.5,0.0,2.0
655,2,1,1.0,0.0,1.0
656,2,1,1.0,0.0,1.0
657,10,10,0.2222222222222222,0.0,2.0
658,2,2,2.0,0.0,2.0
659,2,1,1.0,0.0,1.0
660,2,2,2.0,0.0,2.0
661,2,1,1.0,0.0,1.0
662,2,2,2.0,0.0,2.0
663,1,1,0.0,0.0,2.0
664,2,1,1.0,0.0,1.0
665,5,5,0.5,0.0,2.0
666,1,1,0.0,0.0,2.0
667,2,2,2.0,0.0,2.0
668,2,1,1.0,0.0,1.0
669,2,2,2.0,0.0,2.0
670,2,2,2.0,0.0,2.0
671,5,4,0.4,0.0,1.6
672,2,2,2.0,0.0,2.0
673,2,1,1.0,0.0,1.0
674,5,4,0.4,0.0,1.6
675,2,1,1.0,0.0,1.0
676,2,1,1.0,0.0,1.0
677,1,1,0.0,0.0,2.0
678,1,1,0.0,0.0,2.0
679,1,1,0.0,0.0,2.0
680,3,4,1.3333333333333333,0.0,2.6666666666666665
681,4,4,0.6666666666666666,0.0,2.0
682,1,1,0.0,0.0,2.0
683,1,1,0.0,0.0,2.0
684,3,3,1.0,0.0,2.0
685,4,3,0.5,0.0,1.5
686,3,2,0.6666666666666666,0.0,1.3333333333333333
687,2,2,2.0,0.0,2.0
688,3,2,0.6666666666666666,0.0,1.3333333333333333
689,8,7,0.25,0.0,1.75
690,4,4,0.6666666666666666,0.0,2.0
691,2,1,1.0,0.0,1.0
692,2,1,1.0,0.0,1.0
693,2,2,2.0,0.0,2.0
694,3,3,1.0,0.0,2.0
695,2,2,2.0,0.0,2.0
696,2,1,1.0,0.0,1.0
697,2,1,1.0,0.0,1.0
698,1,1,0.0,0.0,2.0
699,2,1,1.0,0.0,1.0
700,2,1,1.0,0.0,1.0
701,3,2,0.6666666666666666,0.0,1.3333333333333333
702,1,1,0.0,0.0,2.0
703,1,1,0.0,0.0,2.0
704,2,1,1.0,0.0,1.0
705,1,1,0.0,0.0,2.0
706,2,1,1.0,0.0,1.0
707,1,1,0.0,0.0,2.0
708,2,2,2.0,0.0,2.0
709,1,1,0.0,0.0,2.0
710,2,1,1.0,0.0,1.0
711,1,1,0.0,0.0,2.0
712,2,1,1.0,0.0,1.0
713,2,2,2.0,0.0,2.0
714,2,1,1.0,0.0,1.0
715,2,1,1.0,0.0,1.0
716,3,3,1.0,0.0,2.0
717,2,2,2.0,0.0,2.0
718,2,1,1.0,0.0,1.0
719,4,4,0.6666666666666666,0.0,2.0
720,2,1,1.0,0.0,1.0
721,1,1,0.0,0.0,2.0
722,2,1,1.0,0.0,1.0
723,2,1,1.0,0.0,1.0
724,2,1,1.0,0.0,1.0
725,4,3,0.5,0.0,1.5
726,1,1,0.0,0.0,2.0
727,2,1,1.0,0.0,1.0
728,1,1,0.0,0.0,2.0
729,1,1,0.0,0.0,2.0
730,2,2,2.0,0.0,2.0
731,2,2,2.0,0.0,2.0
732,6,6,0.4,0.0,2.0
733,1,1,0.0,0.0,2.0
