node,degree_centrality,betweenness_centrality,community
670,0.0001278772378516624,0.0,497
675,4.262574595055413e-05,0.0,34
669,0.0009377664109121909,0.0004211920072107788,34
460,4.262574595055413e-05,0.0,33
677,4.262574595055413e-05,0.0,33
678,0.00046888320545609546,0.00030693153610004026,34
681,4.262574595055413e-05,0.0,34
685,4.262574595055413e-05,0.0,34
680,4.262574595055413e-05,0.0,34
682,4.262574595055413e-05,0.0,34
683,4.262574595055413e-05,0.0,34
686,4.262574595055413e-05,0.0,34
684,4.262574595055413e-05,0.0,34
679,4.262574595055413e-05,0.0,34
689,0.00029838022165387895,0.00011509932603751509,226
690,0.000639386189258312,9.705322050087534e-05,226
695,0.00034100596760443307,0.00013988578706173105,0
138,0.012190963341858482,0.007693044559857913,34
696,0.0001278772378516624,0.0,34
699,0.00017050298380221653,3.836644201250503e-05,497
700,4.262574595055413e-05,0.0,497
707,4.262574595055413e-05,0.0,34
32886,8.525149190110827e-05,0.0,21
708,0.0001278772378516624,0.0,34
709,4.262574595055413e-05,0.0,496
8432,0.00042625745950554135,0.0001463212094703889,496
719,4.262574595055413e-05,0.0,35
38528,4.262574595055413e-05,0.0,35
728,8.525149190110827e-05,0.0,36
2739,4.262574595055413e-05,0.0,497
731,0.00034100596760443307,3.0014454077850042e-05,497
729,0.00021312872975277067,6.324910789916976e-05,497
730,0.0001278772378516624,0.0,497
738,4.262574595055413e-05,0.0,34
740,0.00017050298380221653,3.836644201250503e-05,1
741,4.262574595055413e-05,0.0,1
748,0.0001278772378516624,0.0,497
750,0.001278772378516624,0.00018777584436088614,497
947,0.0005541346973572037,0.0002255787125630342,0
752,0.0009377664109121909,0.0002161953351238112,3
26754,4.262574595055413e-05,0.0,3
755,0.00021312872975277067,3.836644201250503e-05,0
757,0.00021312872975277067,3.2540244580158057e-06,0
255,0.009974424552429667,0.006232465667305285,0
756,4.262574595055413e-05,0.0,0
768,0.0005541346973572037,0.00024093294362455335,0
769,4.262574595055413e-05,0.0,0
763,0.00021312872975277067,2.2335462372963365e-05,497
764,0.0006820119352088661,8.256945693765328e-05,497
761,0.00017050298380221653,6.794496702147783e-05,3
766,4.262574595055413e-05,0.0,0
770,4.262574595055413e-05,0.0,0
767,4.262574595055413e-05,0.0,0
765,8.525149190110827e-05,1.2415944633925685e-05,0
771,0.00021312872975277067,0.0003662580325938204,0
762,0.0001278772378516624,5.625455057097284e-05,0
33365,0.0005541346973572037,0.0001564229111679866,34
774,8.525149190110827e-05,0.0,34
783,4.262574595055413e-05,0.0,1294
4422,0.0001278772378516624,0.0,1294
667,0.00029838022165387895,0.00016570699051925145,429
784,0.0001278772378516624,6.590288020692808e-05,429
785,0.00021312872975277067,3.4828434960096985e-05,0
786,8.525149190110827e-05,0.0,37
258,0.0103154305200341,0.011777900266444125,3
458,0.00017050298380221653,3.836644201250503e-05,3
788,4.262574595055413e-05,0.0,3
139,0.006436487638533674,0.004124663600046059,497
550,0.0002557544757033248,8.27063833782471e-05,496
779,4.262574595055413e-05,0.0,496
792,8.525149190110827e-05,0.0,1216
793,0.00029838022165387895,0.0001192117677955802,20
